,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.5216247808299239,0.5573770491803278,0.5396825396825397,0.576271186440678,0.5384615384615384,0.9196546924671558,0.3173737863663733
RandomForest,0.5661893629456458,0.5217391304347826,0.5357142857142857,0.5084745762711864,0.5299145299145299,0.7779963329700783,0.2757299145299145
CatBoost,0.559322033898305,0.592,0.5606060606060606,0.6271186440677966,0.5641025641025641,0.6945991050749076,0.2502917400466806
