,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.5841613091759206,0.5714285714285714,0.5373134328358209,0.6101694915254238,0.5384615384615384,0.7170416598980055,0.25681621218550027
RandomForest,0.5622443015780245,0.5546218487394958,0.55,0.559322033898305,0.5470085470085471,0.7881007373971801,0.27763664529914533
CatBoost,0.5601987142022209,0.592,0.5606060606060606,0.6271186440677966,0.5641025641025641,0.6961928906083892,0.25099130395589964
