,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.5208636231462634,0.5699208443271768,0.5454545454545454,0.5966850828729282,0.5105105105105106,0.7182316982026923,0.26116997070001186
RandomForest,0.5368021227100901,0.5953002610966057,0.5643564356435643,0.6298342541436464,0.5345345345345346,0.7163321071746979,0.25950914039039036
CatBoost,0.5799832800232626,0.6532663316582915,0.5990783410138248,0.7182320441988951,0.5855855855855856,0.6921417656593375,0.24949730692634675
