,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.5330347144456886,0.5663716814159292,0.5714285714285714,0.5614035087719298,0.5288461538461539,0.7701447474068035,0.27632547523768564
RandomForest,0.5714818962299365,0.5555555555555556,0.5882352941176471,0.5263157894736842,0.5384615384615384,0.714629684747695,0.25765486778846153
CatBoost,0.6356849570735349,0.6111111111111112,0.6470588235294118,0.5789473684210527,0.5961538461538461,0.6892665809427788,0.24806003625228595
