,auc_roc,f1,precision,recall,log_loss
LogisticRegression,0.5701185659367929,0.6243200561502018,0.5638668779714738,0.6992924528301887,0.6841663617934455
RandomForest,0.5502610147012228,0.593903997079759,0.5543441226575809,0.6395440251572327,0.6896779858352058
CatBoost,0.5434351840947519,0.6872422130564643,0.5384443949186539,0.949685534591195,0.6906121192067067
