,auc_roc,f1,precision,recall,accuracy,log_loss
LogisticRegression,0.5463387014231427,0.6235011990407674,0.5720572057205721,0.6851119894598156,0.5395894428152492,0.6869353313672539
RandomForest,0.5388495083787934,0.6202759448110378,0.5693832599118943,0.6811594202898551,0.5359237536656891,0.6894106885784583
CatBoost,0.5224948006838054,0.7059401080019637,0.5625978090766823,0.9472990777338604,0.5608504398826979,0.686837077187414
