,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.5046775810223856,0.5269461077844312,0.5176470588235295,0.5365853658536586,0.49032258064516127,0.9702978836349017,0.32848731793355596
RandomForest,0.5097728032074842,0.49079754601226994,0.49382716049382713,0.4878048780487805,0.4645161290322581,0.8488307768741555,0.307950564516129
CatBoost,0.5877046441697293,0.5818181818181818,0.5783132530120482,0.5853658536585366,0.5548387096774193,0.6915672559374005,0.24921008964031754
