,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.6080627099664053,0.6101694915254238,0.5901639344262295,0.631578947368421,0.5576923076923077,0.8579131012438521,0.27123606218033813
RandomForest,0.6713325867861142,0.6666666666666666,0.6851851851851852,0.6491228070175439,0.6442307692307693,0.6795588018028276,0.23503846153846156
CatBoost,0.6995147443075774,0.7130434782608696,0.7068965517241379,0.7192982456140351,0.6826923076923077,0.635416072689603,0.22144371317720518
