,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.4977901555972634,0.6167800453514739,0.5619834710743802,0.6834170854271356,0.536986301369863,0.9562761927318694,0.31856946448870493
RandomForest,0.5146818429496882,0.5693069306930693,0.5609756097560976,0.5778894472361809,0.5232876712328767,0.7827645266558402,0.2830430136986301
CatBoost,0.5239298904159351,0.6062052505966588,0.5772727272727273,0.6381909547738693,0.547945205479452,0.7070020291077614,0.25641288409718094
