,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.4295733489187609,0.5606060606060606,0.5068493150684932,0.6271186440677966,0.5042735042735043,1.0439844073867979,0.3492869925109986
RandomForest,0.5558153126826417,0.5645161290322581,0.5384615384615384,0.5932203389830508,0.5384615384615384,0.7929584171996358,0.28090683760683754
CatBoost,0.5404734073641145,0.5645161290322581,0.5384615384615384,0.5932203389830508,0.5384615384615384,0.6913902799541505,0.2491224612022799
