,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.4438423645320197,0.5504587155963303,0.5882352941176471,0.5172413793103449,0.4731182795698925,0.9643281941928665,0.32821545975969413
RandomForest,0.49384236453201974,0.5688073394495413,0.6078431372549019,0.5344827586206896,0.4946236559139785,0.8116380757137843,0.29474408602150537
CatBoost,0.4756157635467981,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.5268817204301075,0.7080343982947385,0.25722461220042525
