,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.49518368907904486,0.5348837209302325,0.5404699738903395,0.5294117647058824,0.4943820224719101,0.856320865480754,0.2990711219763076
RandomForest,0.5515930874584698,0.5803921568627451,0.5935828877005348,0.5677749360613811,0.5491573033707865,2.1681442606599024,0.2963431179775281
CatBoost,0.5397216180255118,0.5221238938053098,0.6167247386759582,0.45268542199488493,0.5449438202247191,0.7695754183485928,0.28070495741726886
