,auc_roc,f1,precision,recall,accuracy,log_loss,brier_score
LogisticRegression,0.5337454059472102,0.576271186440678,0.5368421052631579,0.6219512195121951,0.5161290322580645,0.7046847649095068,0.25493317160469525
CatBoost,0.5526227865018376,0.5660377358490566,0.5844155844155844,0.5487804878048781,0.5548387096774193,0.6907325234999955,0.24879340217406953
